ballots_cast,note,precinct_id,registered,rule
500,Likely join/extraction error — registered not mapped from workbook,Precinct 0510000,0,REG_ZERO_BALLOTS_NONZERO
500,Likely join/extraction error — registered not mapped from workbook,Precinct 0510001,0,REG_ZERO_BALLOTS_NONZERO
500,Likely join/extraction error — registered not mapped from workbook,Precinct 0510002,0,REG_ZERO_BALLOTS_NONZERO
500,Likely join/extraction error — registered not mapped from workbook,Precinct 0510003,0,REG_ZERO_BALLOTS_NONZERO
500,Likely join/extraction error — registered not mapped from workbook,Precinct 0510004,0,REG_ZERO_BALLOTS_NONZERO
500,Likely join/extraction error — registered not mapped from workbook,Precinct 0510005,0,REG_ZERO_BALLOTS_NONZERO
500,Likely join/extraction error — registered not mapped from workbook,Precinct 0510006,0,REG_ZERO_BALLOTS_NONZERO
500,Likely join/extraction error — registered not mapped from workbook,Precinct 0510007,0,REG_ZERO_BALLOTS_NONZERO
500,Likely join/extraction error — registered not mapped from workbook,Precinct 0510008,0,REG_ZERO_BALLOTS_NONZERO
500,Likely join/extraction error — registered not mapped from workbook,Precinct 0510009,0,REG_ZERO_BALLOTS_NONZERO
