held_out_year,precinct,predicted_swing,actually_swung,swing_score,confidence,support_change,turnout_change
2022,0400101,True,False,0.85,0.4,0.058250591967278,-0.006771759855401516
2022,0400102,False,True,0.3833,0.4,0.008158461134069483,-0.05464284864356983
2022,0400103,True,False,0.6435,0.4,0.010816194183831063,0.030938779032129715
2022,0400104,True,False,0.7152,0.4,-0.013265264352548378,-0.049887812959951705
2022,0400105,False,False,0.2676,0.4,0.08280305983730751,-0.008448459947847153
2022,0400106,True,False,0.7449,0.4,0.0090916445032036,-0.03973431764919805
2022,0400107,True,True,0.7546,0.4,0.11770279464386035,0.03338392922565869
2022,0400108,False,False,0.3548,0.4,0.09919960325922655,0.05042742945213141
2022,0400109,True,True,0.4074,0.4,-0.09941602728681681,0.050440219915903584
2022,0400110,True,True,0.4993,0.4,-0.1446702265937877,-0.06790053123575879
2022,0400111,False,True,0.0733,0.4,-0.04531235339675754,-0.06119047454971027
2022,0400112,True,False,0.6681,0.4,0.012159413103147054,0.0037334208482143194
2022,0400113,True,False,0.7049,0.4,0.09894893201917021,-0.020618027297443442
2022,0400114,True,True,0.604,0.4,-0.1274781493065581,-0.010806232944000072
2022,0400115,True,False,0.7982,0.4,0.0036701862733864443,-0.002722196566783519
2022,0400116,True,True,0.6669,0.4,0.06903010720425617,0.12644553722647278
2022,0400117,True,False,0.6613,0.4,0.020545017490795847,-0.006481040310347852
2022,0400118,False,False,0.2883,0.4,-0.057844158914762744,0.028117734943235106
2022,0400119,True,False,0.7335,0.4,-0.0015024653579944758,0.043646019314206086
2022,0400120,True,True,0.8434,0.4,-0.14218279054937144,-0.07678447792178134
2024,0400101,True,False,0.8373,0.4,0.027262403124459378,-0.031354573331767555
2024,0400102,False,False,0.2918,0.4,0.04621493546736155,0.009019268729757446
2024,0400103,True,False,0.569,0.4,-0.002355329794034855,0.023894699620276738
2024,0400104,True,True,0.5471,0.4,-0.06568621021127463,0.04127892126606025
2024,0400105,True,True,0.4316,0.4,0.11558147739613528,-0.005386959029614613
2024,0400106,True,True,0.6416,0.4,0.021679528580758056,0.08020141287442151
2024,0400107,True,False,0.5733,0.4,-0.006327602400729826,-0.04052899857611886
2024,0400108,True,False,0.6459,0.4,0.020558798246916365,0.007021003151868155
2024,0400109,True,False,0.5886,0.4,-0.008162367093639267,0.009902895174374371
2024,0400110,True,True,0.6992,0.4,-0.06727603200090154,-0.022773738582758996
2024,0400111,False,False,0.3533,0.4,-0.03152058558989479,-0.04747342560145351
2024,0400112,True,False,0.4678,0.4,0.020950011693364856,0.030056189961505164
2024,0400113,True,True,0.588,0.4,0.11622128630384554,-0.09102705720524684
2024,0400114,True,True,0.7484,0.4,0.05776017848518955,0.08548112715909617
2024,0400115,True,False,0.6807,0.4,0.018514334548965727,0.011913520976976066
2024,0400116,True,False,0.8162,0.4,0.06074463725280055,0.04503750468980727
2024,0400117,True,True,0.5868,0.4,0.02114338305822916,0.060073213669412595
2024,0400118,True,True,0.4553,0.4,0.18999953384856255,0.018115341421389375
2024,0400119,True,True,0.6164,0.4,-0.0206434036711729,-0.108913904976354
2024,0400120,True,False,0.6965,0.4,0.045241271105688374,-0.02618355714304238
